App_Order,App_Name,App_Star,App_Price,App_Review
0,iTunes,3,Free,30874
1,Netflix,4,Free,671575
2,Spotify Music,4,Free,31093
3,Microsoft Sticky Notes,4.5,Free,90236
4,Facebook,3.5,Free,481943
5,Instagram,3,Free,99515
6,Hulu,3,Free,28884
7,Messenger,3,Free,291542
8,Your Phone,4,Free,57147
9,OneNote,4.5,Free,325916
10,WhatsApp Desktop,3.5,Free,35824
11,Norton Safe Web,3.5,Free,515
12,Slack,4,Free,1255
13,NVIDIA Control Panel,2,Free,2110
14,Xbox (Beta),2.5,Free,1855
15,iCloud,2.5,Free,792
16,Snip &amp; Sketch,3,Free,1106
17,Pandora,4,Free,27148
18,Grammarly for Microsoft Edge,3.5,Free,1724
19,"Microsoft To Do: Lists, Tasks &amp; Reminders",4.5,Free,82037
20,Paint 3D,4.5,Free,313103
21,"Any Player - Video, DVD",4.5,Free,89187
22,"Adobe Photoshop Express: Image Editor, Adjustments, Filters, Effects, Borders",4.5,Free,135954
23,"Trio Office: Word, Slide, Spreadsheet &amp; PDF Compatible",4.5,Free,134061
24,"Cool File Viewer: Rar, Word, PDF, PPT, Video &amp; Image Opener",4.5,Free,103921
25,Honey,4,Free,1416
26,VLC,3.5,Free,18295
27,"PDF Reader - View, Edit, Share",4.5,Free,60985
28,Pinterest,5,Free,8467
29,EasyMail for Gmail,4.5,Free,12522
30,Office,3.5,Free,16236
31,Amazon Music,3.5,Free,1276
32,DTS Sound Unbound,4.5,Free,4712
33,VitalSource Bookshelf,3.5,Free,539
34,"BreeZip: Rar, Zip &amp; 7z Extractor",4.5,Free,109474
35,Power BI Desktop,4,Free,628
36,Hotspot Shield Free VPN,4,Free,64962
37,FizzTube - YouTube Player,4.5,Free,33524
38,Telegram Desktop,4.5,Free,5139
39,Alexa,2.5,Free,563
40,Fitbit,3.5,Free,36956
41,"Drawboard PDF - Read, edit, annotate",4,Free,26652
42,Dolby Access,4.5,Free,63975
43,Autodesk SketchBook,4.5,Free,30042
44,Microsoft Remote Desktop,3.5,Free,21809
45,WeChat For Windows,3,Free,19279
46,Windows DVD Player,3,Free,12368
47,Animotica - Movie Maker,4.5,Free,35316
